method,band,regime,tau,n,precision,recall,f1,iou,mcc,count_mae,ms_per_tile
U-Net (semantic),1-5%,fair(1-20%),0.3,26,0.028737957582502107,0.9986531161993185,0.055868211428767196,0.028736843774241703,-0.004745066766681212,13.115384615384615,12.563490264046077
U-Net (semantic),5-10%,fair(1-20%),0.3,27,0.07476668284136238,0.9989647798456919,0.13912097277645372,0.07476089035367244,-0.0033122192887631704,29.74074074074074,12.665038548961835
U-Net (semantic),10-20%,fair(1-20%),0.3,41,0.1542893664033256,0.9998094447848149,0.2673254042562215,0.15428482946553293,-0.00048000289303716786,27.21951219512195,12.482742790314482
Mask R-CNN (instance),1-5%,fair(1-20%),0.2,26,0.11601950853498189,0.12621933798620208,0.12090468321344962,0.0643419642764253,0.09383354937049715,37.96153846153846,921.982064198416
Mask R-CNN (instance),5-10%,fair(1-20%),0.2,27,0.1705775272461101,0.27118989866932447,0.2094264968883351,0.11696056992572808,0.13376809253799646,94.37037037037037,925.811240768612
Mask R-CNN (instance),10-20%,fair(1-20%),0.2,41,0.23132838151866075,0.47447042534818423,0.3110191582952429,0.18414605490914146,0.1451097195166061,103.60975609756098,924.191699147497
YOLOv8 (detection),1-5%,fair(1-20%),0.05,26,0.045758825662808214,0.3038243337006591,0.07953841199600414,0.04141629946143221,0.049418322280887744,33.76923076923077,9.71652096352325
YOLOv8 (detection),5-10%,fair(1-20%),0.05,27,0.12694813350201958,0.4162642909497547,0.19456099420282646,0.10776381477018399,0.11302312132437835,104.33333333333333,9.955973683477001
YOLOv8 (detection),10-20%,fair(1-20%),0.05,41,0.20451918582579776,0.6406442213527958,0.310056098707456,0.18347123765734413,0.13447997698388392,151.78048780487805,9.679136156081789
Classical (thr+morph),1-5%,fair(1-20%),0.5,26,0.05061349693251393,0.03703930451818218,0.042775328870242525,0.021855094103338808,0.01917394670869554,11.692307692307692,0.8546313575397317
Classical (thr+morph),5-10%,fair(1-20%),0.5,27,0.09993301786910287,0.06989625129402467,0.08225841544086912,0.042893378653472314,0.022456125907834065,17.14814814814815,0.9191727645143315
Classical (thr+morph),10-20%,fair(1-20%),0.5,41,0.21221173838801333,0.14598700365190592,0.1729774681178914,0.09467724980289571,0.05525313570332384,17.073170731707318,1.0031076693316785
U-Net (semantic),20-40%,dense(>=20%),0.3,7,0.291329245404349,0.9999775533108792,0.45120602801997317,0.29132734026227614,-0.003988397185854965,35.142857142857146,12.872643003772412
U-Net (semantic),40-70%,dense(>=20%),0.3,22,0.5787693370472298,0.9999999999999988,0.7331904960392831,0.5787693370472298,0.0,19.818181818181817,12.797087229872968
U-Net (semantic),>70%,dense(>=20%),0.3,163,0.9637668406422485,0.999997474578966,0.9815479370556307,0.9637644949134871,-0.0003024962524791939,1.5766871165644172,12.835782394098814
Mask R-CNN (instance),20-40%,dense(>=20%),0.05,7,0.3028063012279454,0.37178451178450905,0.3337688285367793,0.20031363885574147,0.01884204580814078,126.85714285714286,915.235077430095
Mask R-CNN (instance),40-70%,dense(>=20%),0.05,22,0.5226701697552493,0.14733152379069206,0.2298674560880543,0.12985889518063493,-0.0501655148151259,72.22727272727273,921.6351269384508
Mask R-CNN (instance),>70%,dense(>=20%),0.05,163,0.9993939441395008,0.061986265012049645,0.11673234017435317,0.061983935040842285,0.0480718352778979,33.49693251533742,921.101734123587
YOLOv8 (detection),20-40%,dense(>=20%),0.1,7,0.32126490866999635,0.860785634118961,0.4678991428627881,0.3053970900152101,0.12424759180003907,56.714285714285715,9.783351294962424
YOLOv8 (detection),40-70%,dense(>=20%),0.1,22,0.58287043143556,0.9320283055610469,0.7172119521215656,0.5591040188173585,0.029268757439443207,60.09090909090909,9.40077450253408
YOLOv8 (detection),>70%,dense(>=20%),0.1,163,0.9652967942244229,0.9989763302970972,0.9818478261630134,0.9643429070575229,0.16013437783811008,4.269938650306749,9.00190620128911
Classical (thr+morph),20-40%,dense(>=20%),0.5,7,0.3700511923442959,0.21526374859708033,0.27219058024604725,0.15753507167654027,0.0782576940770963,18.428571428571427,1.045261842331716
Classical (thr+morph),40-70%,dense(>=20%),0.5,22,0.6108471728553362,0.23004320133259004,0.3342201155226665,0.20063882336095065,0.034298077583656224,39.27272727272727,1.3788580386476084
Classical (thr+morph),>70%,dense(>=20%),0.5,163,0.9640556581996641,0.24712672650166143,0.39340717267504566,0.24487049013808618,0.0008850440893533795,51.920245398773005,1.3550204222027693
