epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4874,3.35581,3.64662,2.0084,0.84797,0.01432,0.00444,0.00121,3.26096,3.12574,1.81036,0.000331395,0.000331395,0.000331395
2,80.9473,3.17102,2.77518,1.77111,0.84542,0.01309,0.00388,0.00103,3.1849,3.04017,1.8955,0.000658148,0.000658148,0.000658148
3,120.904,3.1376,2.68563,1.76148,0.18604,0.0136,0.0061,0.00195,3.1205,2.88006,1.81862,0.0009783,0.0009783,0.0009783
4,160.607,3.06133,2.60158,1.7385,0.02555,0.01466,0.00756,0.00226,3.0746,2.71704,1.812,0.0009703,0.0009703,0.0009703
5,200.524,3.02377,2.58772,1.71458,0.02609,0.02032,0.0095,0.00323,2.93687,2.8097,1.73552,0.0009604,0.0009604,0.0009604
6,240.269,2.96889,2.56878,1.68416,0.19163,0.01732,0.00791,0.00244,2.95669,2.71649,1.67464,0.0009505,0.0009505,0.0009505
7,280.14,2.96472,2.54662,1.66793,0.19246,0.01537,0.00756,0.00258,3.08511,2.74353,1.75311,0.0009406,0.0009406,0.0009406
8,320.104,2.92081,2.52796,1.65464,0.19654,0.02192,0.01169,0.00373,2.95076,2.60362,1.68793,0.0009307,0.0009307,0.0009307
9,359.982,2.92003,2.51806,1.63681,0.36711,0.02239,0.01267,0.00393,2.77564,2.53497,1.64156,0.0009208,0.0009208,0.0009208
10,399.788,2.90675,2.48609,1.63641,0.36496,0.02353,0.01253,0.00408,2.89173,2.60604,1.6596,0.0009109,0.0009109,0.0009109
11,439.623,2.867,2.47335,1.62832,0.3657,0.02146,0.0128,0.00436,2.89937,2.64496,1.59922,0.000901,0.000901,0.000901
12,479.56,2.86844,2.4627,1.61961,0.36726,0.0215,0.01284,0.00443,2.80258,2.51249,1.56629,0.0008911,0.0008911,0.0008911
13,519.573,2.84161,2.43087,1.60865,0.36594,0.02484,0.01393,0.00474,2.80654,2.57131,1.61735,0.0008812,0.0008812,0.0008812
14,559.544,2.83525,2.43002,1.60476,0.3668,0.02446,0.01417,0.00486,2.77935,2.55395,1.58657,0.0008713,0.0008713,0.0008713
15,599.562,2.83125,2.44224,1.58866,0.36469,0.02095,0.01148,0.00405,2.84272,2.62032,1.67946,0.0008614,0.0008614,0.0008614
16,639.148,2.80815,2.43383,1.59164,0.36695,0.02602,0.0146,0.00481,2.78645,2.43201,1.58766,0.0008515,0.0008515,0.0008515
17,678.867,2.80318,2.40053,1.57773,0.20001,0.02285,0.0145,0.00496,2.73529,2.48509,1.58732,0.0008416,0.0008416,0.0008416
18,718.889,2.78514,2.39772,1.5783,0.36839,0.0269,0.0158,0.00524,2.7024,2.52248,1.5595,0.0008317,0.0008317,0.0008317
19,758.776,2.77469,2.37508,1.57472,0.36899,0.02513,0.01565,0.00541,2.7202,2.42155,1.5318,0.0008218,0.0008218,0.0008218
