epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,242.518,1.45346,2.06732,1.25018,0.72855,0.00835,0.00448,0.00229,1.9741,2.10993,0.86064,0.00998745,0.00332915,0.00998745,0.00332915,0.00998745,0.00332915,0.00998745,0.00332915
2,478.407,1.46626,1.25853,1.09806,0.73974,0.01299,0.00667,0.00388,1.98221,1.8513,0.77907,0.0197896,0.00659653,0.0197896,0.00659653,0.0197896,0.00659653,0.0197896,0.00659653
3,706.529,1.55315,1.2605,1.08381,0.73471,0.01445,0.00612,0.00248,2.21714,2.05268,0.84002,0.0293937,0.0097979,0.0293937,0.0097979,0.0293937,0.0097979,0.0293937,0.0097979
4,929.347,1.54865,1.22966,1.06839,0.16108,0.01335,0.00712,0.00397,2.15267,2.33204,0.75715,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1152.72,1.4786,1.17412,1.0516,0.03141,0.01824,0.00783,0.00313,2.27966,2.07897,0.84671,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1375.41,1.45088,1.14323,1.04366,0.03726,0.01784,0.00905,0.00417,2.1549,2.2111,0.7769,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1597.43,1.43728,1.12766,1.03416,0.03278,0.02399,0.00961,0.00435,2.07418,1.90708,0.74993,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1818.44,1.4215,1.11468,1.02866,0.03244,0.02353,0.00967,0.00443,2.08476,1.96207,0.73692,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2041.09,1.41571,1.11095,1.02783,0.03387,0.02551,0.01182,0.00536,2.03643,1.8502,0.73957,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2263.49,1.41047,1.09643,1.02166,0.03559,0.0291,0.01302,0.00558,2.0313,1.88049,0.74238,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2485.72,1.40012,1.08732,1.02022,0.03822,0.02791,0.01243,0.00534,2.22267,1.95789,0.81267,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2707.02,1.36761,1.07315,1.01986,0.03885,0.03019,0.01324,0.00595,1.98867,1.75843,0.71399,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
